Source Well,Destination Well,Transfer Volume
A2,AR70,2.5
A2,AR71,2.5
A2,AR72,2.5
A2,AR73,2.5
A2,AR74,2.5
A2,AR75,2.5
A2,AR76,2.5
A1,AR77,2.5
A1,AR78,2.5
A1,AR79,2.5
A2,AR80,2.5
A2,AR81,2.5
A2,AR82,2.5
A2,AR83,2.5
A2,AR84,2.5
A2,AR85,2.5
A2,AR86,2.5
A1,AR87,2.5
A1,AR88,2.5
A2,AR89,2.5
A2,AR90,2.5
A2,AR91,2.5
A2,AR92,2.5
A1,AR93,2.5
A2,AR94,2.5
A2,AR95,2.5
A2,AR96,2.5
A2,AR97,2.5
A1,AR98,2.5
A1,AR99,2.5
A1,AR100,2.5
A1,AR101,2.5
A1,AR102,2.5
A2,AR103,2.5
A2,AR104,2.5
A2,AR105,2.5
A2,AR106,2.5
A2,AR107,2.5
A2,AR108,2.5
A2,AR109,2.5
A1,AR110,2.5
A1,AR111,2.5
A2,AR112,2.5
A2,AR113,2.5
A2,AR114,2.5
A2,AR115,2.5
A2,AR116,2.5
A1,AR117,2.5
A1,AR118,2.5
A1,AR119,2.5
A2,AR120,2.5
A2,AR121,2.5
A2,AR122,2.5
A2,AR123,2.5
A2,AR124,2.5
A2,AR125,2.5
A2,AR126,2.5
A2,AR127,2.5
A2,AR128,2.5
A2,AR129,2.5
A2,AR130,2.5
A2,AR131,2.5
A2,AR132,2.5
A2,AR133,2.5
A2,AR134,2.5
A2,AR135,2.5
A2,AR136,2.5
A2,AR137,2.5
A2,AR138,2.5
A2,AR139,2.5
A2,AR140,2.5
A2,AR141,2.5
A2,AR142,2.5
A2,AR143,2.5
A2,AR144,2.5
A2,AR145,2.5
A2,AR146,2.5
A2,AR147,2.5
A2,AR148,2.5
A2,AR149,2.5
A2,AR150,2.5
A2,AR151,2.5
A2,AR152,2.5
A2,AR153,2.5
A2,AR154,2.5
A2,AR155,2.5
A2,AR156,2.5
A2,AR157,2.5
A2,AR158,2.5
A2,AR159,2.5
A2,AR160,2.5
A2,AR161,2.5
A2,AR162,2.5
A2,AR163,2.5
A2,AR164,2.5
A2,AR165,2.5
A2,AR166,2.5
A2,AR167,2.5
A2,AR168,2.5
A2,AR169,2.5
A2,AR170,2.5
A2,AR171,2.5
A1,AR172,2.5
A2,AR173,2.5
A2,AR174,2.5
A1,AR175,2.5
A1,AR176,2.5
A2,AR177,2.5
A2,AR178,2.5
A1,AR179,2.5
A1,AR180,2.5
A2,AR181,2.5
A2,AR182,2.5
A2,AR183,2.5
A2,AR184,2.5
A2,AR185,2.5
A2,AR186,2.5
A2,AR187,2.5
A2,AR188,2.5
A2,AR189,2.5
A2,AS4,2.5
A2,AS5,2.5
A2,AS6,2.5
A2,AS7,2.5
A2,AS8,2.5
A2,AS9,2.5
A2,AS10,2.5
A2,AS11,2.5
A2,AS12,2.5
A1,AS13,2.5
A1,AS14,2.5
A2,AS15,2.5
A2,AS16,2.5
A2,AS17,2.5
A2,AS18,2.5
A2,AS19,2.5
A2,AS20,2.5
A2,AS21,2.5
A2,AS22,2.5
A2,AS23,2.5
A2,AS24,2.5
A2,AS25,2.5
A2,AS26,2.5
A2,AS27,2.5
A2,AS28,2.5
A2,AS29,2.5
A2,AS30,2.5
A2,AS31,2.5
A2,AS32,2.5
A2,AS33,2.5
A2,AS34,2.5
A2,AS35,2.5
A2,AS36,2.5
A2,AS37,2.5
A2,AS38,2.5
A2,AS39,2.5
A2,AS40,2.5
A2,AS41,2.5
A1,AS42,2.5
A1,AS43,2.5
A2,AS44,2.5
A1,AS45,2.5
A1,AS46,2.5
A2,AS47,2.5
A2,AS48,2.5
A2,AS49,2.5
A1,AS50,2.5
A2,AS51,2.5
A2,AS52,2.5
A1,AS53,2.5
A1,AS54,2.5
A2,AS55,2.5
A2,AS56,2.5
