Source Well,Destination Well,Transfer Volume
A3,Q98,2.5
A3,Q99,2.5
A3,Q100,2.5
A3,Q101,2.5
A3,Q102,2.5
A3,Q103,2.5
A3,Q104,2.5
A3,Q105,2.5
A3,Q106,2.5
A3,Q107,2.5
A3,Q108,2.5
A3,Q109,2.5
A3,Q110,2.5
A3,Q111,2.5
A3,Q112,2.5
A3,Q113,2.5
A3,Q114,2.5
A3,Q115,2.5
A3,Q116,2.5
A3,Q117,2.5
A3,Q118,2.5
A3,Q119,2.5
A3,Q120,2.5
A3,Q121,2.5
A3,Q122,2.5
A3,Q123,2.5
A3,Q124,2.5
A3,Q125,2.5
A3,Q126,2.5
A3,Q127,2.5
A3,Q128,2.5
A3,Q129,2.5
A3,Q130,2.5
A3,Q131,2.5
A3,Q132,2.5
A3,Q133,2.5
A3,Q134,2.5
A3,Q135,2.5
A1,Q136,2.5
A1,Q137,2.5
A1,R87,2.5
A1,R88,2.5
A3,R89,2.5
A3,R90,2.5
A3,R91,2.5
A3,R92,2.5
A3,R93,2.5
A3,R94,2.5
A3,R95,2.5
A3,R96,2.5
A3,R97,2.5
A3,R98,2.5
A3,R99,2.5
A3,R100,2.5
A3,R101,2.5
A3,R102,2.5
A3,R103,2.5
A3,R104,2.5
A3,R105,2.5
A3,R106,2.5
A3,R107,2.5
A3,R108,2.5
A3,R109,2.5
A3,R110,2.5
A3,R111,2.5
A3,R112,2.5
A3,R113,2.5
A3,R114,2.5
A3,R115,2.5
A3,R116,2.5
A3,R117,2.5
A3,R118,2.5
A3,R119,2.5
A3,R120,2.5
A3,R121,2.5
A3,R122,2.5
A3,R123,2.5
A3,R124,2.5
A3,R125,2.5
A3,R126,2.5
A3,R127,2.5
A3,R128,2.5
A3,R129,2.5
A3,R130,2.5
A3,R131,2.5
A3,R132,2.5
A3,R133,2.5
A3,R134,2.5
A3,R135,2.5
A3,R136,2.5
A1,R137,2.5
A1,S87,2.5
A3,S88,2.5
A3,S89,2.5
A3,S90,2.5
A3,S91,2.5
A3,S92,2.5
A3,S93,2.5
A3,S94,2.5
A3,S95,2.5
A3,S96,2.5
A3,S97,2.5
A3,S98,2.5
