Source Well,Destination Well,Transfer Volume
A1,AH49,2.5
A3,AH50,2.5
A3,AH51,2.5
A3,AH52,2.5
A3,AH53,2.5
A3,AH54,2.5
A3,AH55,2.5
A3,AH56,2.5
A3,AH57,2.5
A3,AH58,2.5
A3,AH59,2.5
A3,AH60,2.5
A3,AH61,2.5
A3,AH62,2.5
A3,AH63,2.5
A3,AH64,2.5
A3,AH65,2.5
A3,AH66,2.5
A3,AH67,2.5
A3,AH68,2.5
A3,AH69,2.5
A3,AH70,2.5
A3,AH71,2.5
A3,AH72,2.5
A3,AH73,2.5
A3,AH74,2.5
A3,AH75,2.5
A3,AH76,2.5
A3,AH77,2.5
A3,AH78,2.5
A3,AH79,2.5
A3,AH80,2.5
A3,AH81,2.5
A3,AH82,2.5
A3,AH83,2.5
A1,AH84,2.5
A1,AH85,2.5
A2,AH86,2.5
A2,AH87,2.5
A2,AH88,2.5
A2,AH89,2.5
A2,AH90,2.5
A2,AH91,2.5
A2,AH92,2.5
A2,AH93,2.5
A2,AH94,2.5
A2,AH95,2.5
A2,AH96,2.5
A1,AH105,2.5
A1,AH106,2.5
A1,AH107,2.5
A3,AH108,2.5
A3,AH109,2.5
A3,AH110,2.5
A3,AH111,2.5
A3,AH112,2.5
A3,AH113,2.5
A3,AH114,2.5
A3,AH115,2.5
A3,AH116,2.5
A1,AH117,2.5
A1,AH118,2.5
A1,AH119,2.5
A1,AH120,2.5
A1,AH121,2.5
A1,AH122,2.5
A2,AI44,2.5
A2,AI45,2.5
A2,AI46,2.5
A2,AI47,2.5
A2,AI48,2.5
A1,AI49,2.5
A1,AI50,2.5
A3,AI51,2.5
A3,AI52,2.5
A3,AI53,2.5
A3,AI54,2.5
A3,AI55,2.5
A3,AI56,2.5
A3,AI57,2.5
A3,AI58,2.5
A3,AI59,2.5
A3,AI60,2.5
A3,AI61,2.5
A3,AI62,2.5
A3,AI63,2.5
A3,AI64,2.5
A3,AI65,2.5
A3,AI66,2.5
A3,AI67,2.5
A3,AI68,2.5
A3,AI69,2.5
A3,AI70,2.5
A3,AI71,2.5
A3,AI72,2.5
A3,AI73,2.5
A3,AI74,2.5
A3,AI75,2.5
A3,AI76,2.5
A3,AI77,2.5
A3,AI78,2.5
A3,AI79,2.5
A3,AI80,2.5
A3,AI81,2.5
A3,AI82,2.5
A1,AI83,2.5
A1,AI84,2.5
A1,AI85,2.5
A2,AI86,2.5
A2,AI87,2.5
A2,AI88,2.5
A2,AI89,2.5
A2,AI90,2.5
A2,AI91,2.5
A2,AI92,2.5
A2,AI93,2.5
A2,AI94,2.5
A2,AI95,2.5
A2,AI96,2.5
A2,AI97,2.5
A2,AI98,2.5
A1,AI105,2.5
A1,AI106,2.5
A3,AI107,2.5
A3,AI108,2.5
A3,AI109,2.5
A3,AI110,2.5
A3,AI111,2.5
A3,AI112,2.5
A3,AI113,2.5
A3,AI114,2.5
A3,AI115,2.5
A3,AI116,2.5
A3,AI117,2.5
A3,AI118,2.5
A3,AI119,2.5
A1,AI120,2.5
A1,AI121,2.5
A1,AI122,2.5
A1,AI123,2.5
A1,AI124,2.5
A2,AJ42,2.5
A2,AJ43,2.5
A2,AJ44,2.5
A2,AJ45,2.5
A2,AJ46,2.5
A2,AJ47,2.5
A2,AJ48,2.5
A2,AJ49,2.5
A1,AJ50,2.5
A1,AJ51,2.5
A3,AJ52,2.5
A3,AJ53,2.5
A3,AJ54,2.5
A3,AJ55,2.5
A3,AJ56,2.5
A3,AJ57,2.5
A3,AJ58,2.5
A3,AJ59,2.5
A3,AJ60,2.5
A3,AJ61,2.5
A3,AJ62,2.5
A3,AJ63,2.5
A3,AJ64,2.5
A3,AJ65,2.5
A3,AJ66,2.5
A3,AJ67,2.5
A3,AJ68,2.5
A3,AJ69,2.5
A3,AJ70,2.5
A3,AJ71,2.5
A3,AJ72,2.5
A3,AJ73,2.5
A3,AJ74,2.5
A3,AJ75,2.5
A3,AJ76,2.5
A3,AJ77,2.5
A3,AJ78,2.5
A3,AJ79,2.5
A3,AJ80,2.5
A3,AJ81,2.5
A3,AJ82,2.5
A1,AJ83,2.5
A1,AJ84,2.5
A3,AJ85,2.5
A2,AJ86,2.5
A2,AJ87,2.5
A2,AJ88,2.5
A2,AJ89,2.5
A2,AJ90,2.5
A2,AJ91,2.5
A2,AJ92,2.5
A2,AJ93,2.5
A2,AJ94,2.5
A2,AJ95,2.5
A2,AJ96,2.5
A2,AJ97,2.5
A2,AJ98,2.5
A2,AJ99,2.5
A2,AJ100,2.5
A2,AJ101,2.5
A1,AJ105,2.5
A1,AJ106,2.5
A3,AJ107,2.5
A3,AJ108,2.5
A3,AJ109,2.5
A3,AJ110,2.5
A3,AJ111,2.5
A3,AJ112,2.5
A3,AJ113,2.5
A3,AJ114,2.5
A3,AJ115,2.5
A3,AJ116,2.5
A3,AJ117,2.5
A3,AJ118,2.5
A3,AJ119,2.5
A3,AJ120,2.5
A3,AJ121,2.5
A1,AJ122,2.5
A1,AJ123,2.5
A1,AJ124,2.5
A1,AJ125,2.5
A2,AK41,2.5
A2,AK42,2.5
A2,AK43,2.5
A2,AK44,2.5
A2,AK45,2.5
A2,AK46,2.5
A2,AK47,2.5
A2,AK48,2.5
A2,AK49,2.5
A3,AK50,2.5
A1,AK51,2.5
